n_components,n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
300,50,,2,log2,1,0.7411167512690355,0.7064410798544724,0.9604759020776759,0.7773519163763066,1.002357006072998,0.03359580039978027
300,50,,2,log2,2,0.7842639593908629,0.7413075074796484,0.9470519188141507,0.7801393728222996,0.9581210613250732,0.029788970947265625
300,50,,5,sqrt,1,0.7385786802030457,0.6936080775993335,0.9450846460485373,0.7871080139372821,1.8329598903656006,0.027077198028564453
300,50,,5,sqrt,2,0.748730964467005,0.7020984843685819,0.9362678346626458,0.7916376306620209,1.789910078048706,0.03160405158996582
300,50,,5,log2,1,0.7563451776649747,0.7128335664732576,0.9466437048882326,0.7749128919860627,0.9462740421295166,0.029500961303710938
300,50,,5,log2,2,0.7817258883248731,0.7349332059778686,0.9485524810703883,0.7808362369337979,0.9272899627685547,0.03258800506591797
300,50,10.0,2,sqrt,1,0.7360406091370558,0.6965286027535561,0.9172345677187856,0.7480836236933797,1.281749963760376,0.029000043869018555
300,50,10.0,2,sqrt,2,0.7106598984771574,0.6774181321695403,0.8965432750905634,0.7522648083623693,1.2362308502197266,0.0276639461517334
300,50,10.0,2,log2,1,0.7233502538071066,0.6873858773922681,0.9000346637057101,0.7463414634146341,0.6539177894592285,0.027454853057861328
300,50,10.0,2,log2,2,0.7436548223350253,0.7112753475796206,0.8920677648332769,0.7418118466898955,0.636699914932251,0.03202009201049805
300,50,10.0,5,sqrt,1,0.7131979695431472,0.6703936583338796,0.8977204660075715,0.7428571428571429,1.242825984954834,0.04625296592712402
300,50,10.0,5,sqrt,2,0.7182741116751269,0.6788104923026109,0.8939681402081205,0.7571428571428571,1.3558769226074219,0.030968189239501953
300,50,10.0,5,log2,1,0.7182741116751269,0.6819839746252079,0.906530990640105,0.7341463414634146,0.6997392177581787,0.02656102180480957
300,50,10.0,5,log2,2,0.7258883248730964,0.6892416112976432,0.8907971138231935,0.7372822299651569,0.6451547145843506,0.03126335144042969
300,100,,2,sqrt,1,0.7842639593908629,0.7348251802015023,0.9591101013476446,0.7989547038327526,3.533194065093994,0.03822588920593262
300,100,,2,sqrt,2,0.7791878172588832,0.7260752627209079,0.9479353997709068,0.7979094076655052,3.4705240726470947,0.06129908561706543
300,100,,2,log2,1,0.7385786802030457,0.6971713785672815,0.9620182348712454,0.7986062717770035,2.4068820476531982,0.03786802291870117
300,100,,2,log2,2,0.7842639593908629,0.7414204035827923,0.9552827638749642,0.7989547038327526,1.8238379955291748,0.05153989791870117
300,100,,5,sqrt,1,0.7538071065989848,0.70761762268768,0.9543193079347845,0.8013937282229966,3.573577880859375,0.05839109420776367
300,100,,5,sqrt,2,0.7639593908629442,0.7129378062032788,0.9408497675964741,0.8017421602787456,3.4557929039001465,0.0395960807800293
300,100,,5,log2,1,0.766497461928934,0.7220741022942839,0.9581733404246584,0.7926829268292683,1.8735218048095703,0.06588506698608398
300,100,,5,log2,2,0.7715736040609137,0.7217349552272592,0.9558669669379573,0.7947735191637632,1.8574750423431396,0.05069684982299805
300,100,10.0,2,sqrt,1,0.748730964467005,0.7050099528903989,0.9167931856789593,0.7595818815331011,2.4200429916381836,0.04828810691833496
300,100,10.0,2,sqrt,2,0.7411167512690355,0.7010252881501984,0.9023624220190056,0.775609756097561,2.4204039573669434,0.036885976791381836
300,100,10.0,2,log2,1,0.7157360406091371,0.6787773437869943,0.9018235614720191,0.7449477351916376,1.5289018154144287,0.0515599250793457
300,100,10.0,2,log2,2,0.7436548223350253,0.7125527360007957,0.8977966092353473,0.7560975609756098,1.2829132080078125,0.05024981498718262
300,100,10.0,5,sqrt,1,0.733502538071066,0.6946228394194713,0.9055683182533689,0.7592334494773519,2.5816760063171387,0.03864288330078125
300,100,10.0,5,sqrt,2,0.733502538071066,0.6975062234905688,0.8967030688641794,0.765156794425087,2.396780014038086,0.03871893882751465
300,100,10.0,5,log2,1,0.7588832487309645,0.7223589625716699,0.9082812637810005,0.7459930313588851,1.2940459251403809,0.0551609992980957
300,100,10.0,5,log2,2,0.7284263959390863,0.6960098818010332,0.9004578695705246,0.7484320557491289,1.2398040294647217,0.05500483512878418
