n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.7649025069637883,0.7066722334033618,0.6662191534583395,0.7652506963788299,2.3252058029174805,0.05649709701538086
50,,2,sqrt,2,0.7398328690807799,0.7053702189188359,0.6873317570274847,0.7420612813370473,1.4306449890136719,0.049346208572387695
50,,2,log2,1,0.7649025069637883,0.7066722334033618,0.6662191534583395,0.7652506963788299,6.854259252548218,0.2218918800354004
50,,2,log2,2,0.7398328690807799,0.7053702189188359,0.6873317570274847,0.7420612813370473,1.8059539794921875,0.055169105529785156
50,,5,sqrt,1,0.7409470752089137,0.7032837185795499,0.6690943238835672,0.7497910863509748,1.6408791542053223,0.04309582710266113
50,,5,sqrt,2,0.7345403899721449,0.703680617172363,0.6898572382359409,0.7309888579387186,1.3603620529174805,0.046009063720703125
50,,5,log2,1,0.7409470752089137,0.7032837185795499,0.6690943238835672,0.7497910863509748,1.7848410606384277,0.04162716865539551
50,,5,log2,2,0.7345403899721449,0.703680617172363,0.6898572382359409,0.7309888579387186,1.4598181247711182,0.06335306167602539
50,10.0,2,sqrt,1,0.4955431754874652,0.556941708783429,0.6546375121444404,0.5266016713091922,1.1478416919708252,0.022535085678100586
50,10.0,2,sqrt,2,0.48746518105849584,0.5491111494238001,0.6583803780174614,0.5101671309192202,1.124135971069336,0.043105125427246094
50,10.0,2,log2,1,0.4955431754874652,0.556941708783429,0.6546375121444404,0.5266016713091922,1.6168498992919922,0.03858304023742676
50,10.0,2,log2,2,0.48746518105849584,0.5491111494238001,0.6583803780174614,0.5101671309192202,1.7408671379089355,0.03475499153137207
50,10.0,5,sqrt,1,0.5008356545961002,0.5615683339849576,0.6594420497113473,0.5059192200557103,1.29048490524292,0.035822153091430664
50,10.0,5,sqrt,2,0.4871866295264624,0.5507987089435806,0.665328830790938,0.5086350974930361,1.1975469589233398,0.03553414344787598
50,10.0,5,log2,1,0.5008356545961002,0.5615683339849576,0.6594420497113473,0.5059192200557103,1.2411799430847168,0.13313007354736328
50,10.0,5,log2,2,0.4871866295264624,0.5507987089435806,0.665328830790938,0.5086350974930361,1.3461859226226807,0.044029951095581055
50,20.0,2,sqrt,1,0.7635097493036211,0.7108740567844637,0.6782908534646002,0.7594707520891365,2.4034721851348877,0.0634307861328125
50,20.0,2,sqrt,2,0.7272980501392757,0.7011305049510268,0.6922145639000622,0.7319637883008357,2.199836015701294,0.07107877731323242
50,20.0,2,log2,1,0.7635097493036211,0.7108740567844637,0.6782908534646002,0.7594707520891365,1.7635421752929688,0.07311105728149414
50,20.0,2,log2,2,0.7272980501392757,0.7011305049510268,0.6922145639000622,0.7319637883008357,1.8126158714294434,0.06353211402893066
50,20.0,5,sqrt,1,0.7423398328690808,0.7083126817370248,0.6876124662186786,0.7404596100278551,1.3692610263824463,0.0408940315246582
50,20.0,5,sqrt,2,0.722284122562674,0.7002512924172576,0.6872186782024471,0.7243036211699164,1.4421899318695068,0.06669402122497559
50,20.0,5,log2,1,0.7423398328690808,0.7083126817370248,0.6876124662186786,0.7404596100278551,1.558020830154419,0.041255950927734375
50,20.0,5,log2,2,0.722284122562674,0.7002512924172576,0.6872186782024471,0.7243036211699164,1.2824220657348633,0.04705524444580078
100,,2,sqrt,1,0.7676880222841226,0.7058524700919993,0.6755175545981066,0.7695682451253482,3.0840609073638916,0.12593793869018555
100,,2,sqrt,2,0.7428969359331477,0.7075867592398388,0.6894930108422279,0.7442200557103064,2.673022985458374,0.08641386032104492
100,,2,log2,1,0.7676880222841226,0.7058524700919993,0.6755175545981066,0.7695682451253482,3.0133581161499023,0.10474538803100586
100,,2,log2,2,0.7428969359331477,0.7075867592398388,0.6894930108422279,0.7442200557103064,2.66538405418396,0.08459806442260742
100,,5,sqrt,1,0.7481894150417827,0.7068274903289331,0.6793777207501437,0.7521587743732591,3.4999279975891113,0.12315511703491211
100,,5,sqrt,2,0.7348189415041783,0.7038468198179016,0.6840573730958146,0.7376740947075209,3.3950419425964355,0.48105812072753906
100,,5,log2,1,0.7481894150417827,0.7068274903289331,0.6793777207501437,0.7521587743732591,3.3423500061035156,0.13201904296875
100,,5,log2,2,0.7348189415041783,0.7038468198179016,0.6840573730958146,0.7376740947075209,3.2131807804107666,0.10680294036865234
100,10.0,2,sqrt,1,0.5128133704735376,0.5706763316334926,0.6581143025008178,0.537883008356546,1.8365371227264404,0.05077791213989258
100,10.0,2,sqrt,2,0.49526462395543175,0.5571172745646777,0.6652965245970484,0.5179665738161561,2.4148361682891846,0.05455780029296875
100,10.0,2,log2,1,0.5128133704735376,0.5706763316334926,0.6581143025008178,0.537883008356546,2.635310173034668,0.06318092346191406
100,10.0,2,log2,2,0.49526462395543175,0.5571172745646777,0.6652965245970484,0.5179665738161561,2.6607160568237305,0.05884885787963867
100,10.0,5,sqrt,1,0.5030640668523677,0.5634317898072483,0.6637650138166886,0.5215877437325906,1.8385388851165771,0.047002315521240234
100,10.0,5,sqrt,2,0.4986072423398329,0.5608462255151035,0.6691977777663293,0.5185236768802228,2.677187204360962,0.07458090782165527
100,10.0,5,log2,1,0.5030640668523677,0.5634317898072483,0.6637650138166886,0.5215877437325906,1.950639247894287,0.04807281494140625
100,10.0,5,log2,2,0.4986072423398329,0.5608462255151035,0.6691977777663293,0.5185236768802228,1.6482810974121094,0.050096750259399414
100,20.0,2,sqrt,1,0.7610027855153203,0.7063349778006729,0.684894493788611,0.7641364902506964,2.817655086517334,0.0984797477722168
100,20.0,2,sqrt,2,0.7328690807799443,0.7041751008969642,0.6889258229865128,0.7356545961002785,2.5105719566345215,0.08589291572570801
