n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.88,0.8795685267025335,0.9776333333333334,0.8637499999999999,0.3268589973449707,0.008659839630126953
50,,2,sqrt,2,0.865,0.8641802016772635,0.9750541666666667,0.8568749999999999,0.2833728790283203,0.00867605209350586
50,,2,log2,1,0.88,0.8795685267025335,0.9776333333333334,0.8637499999999999,0.278073787689209,0.009547948837280273
50,,2,log2,2,0.865,0.8641802016772635,0.9750541666666667,0.8568749999999999,0.24827075004577637,0.016200780868530273
50,,5,sqrt,1,0.8675,0.8670001290671944,0.9761958333333334,0.860625,0.28235697746276855,0.008141040802001953
50,,5,sqrt,2,0.88,0.8794813357889352,0.9793125,0.869375,0.4677770137786865,0.0072247982025146484
50,,5,log2,1,0.8675,0.8670001290671944,0.9761958333333334,0.860625,0.2802271842956543,0.008161067962646484
50,,5,log2,2,0.88,0.8794813357889352,0.9793125,0.869375,0.25316596031188965,0.008971929550170898
50,10.0,2,sqrt,1,0.85,0.8494135839969209,0.9715416666666667,0.85375,0.23328185081481934,0.008005142211914062
50,10.0,2,sqrt,2,0.835,0.8344831144403867,0.9734999999999999,0.8525,0.2723989486694336,0.007127046585083008
50,10.0,2,log2,1,0.85,0.8494135839969209,0.9715416666666667,0.85375,0.23938608169555664,0.0073168277740478516
50,10.0,2,log2,2,0.835,0.8344831144403867,0.9734999999999999,0.8525,0.23286867141723633,0.007972002029418945
50,10.0,5,sqrt,1,0.8525,0.8513735607188679,0.971425,0.8556249999999999,0.23534679412841797,0.011622905731201172
50,10.0,5,sqrt,2,0.86,0.8595439541203342,0.9717666666666667,0.8556250000000001,0.23393011093139648,0.009188175201416016
50,10.0,5,log2,1,0.8525,0.8513735607188679,0.971425,0.8556249999999999,0.24022912979125977,0.008584022521972656
50,10.0,5,log2,2,0.86,0.8595439541203342,0.9717666666666667,0.8556250000000001,0.41431093215942383,0.007988929748535156
50,20.0,2,sqrt,1,0.8675,0.867364368355222,0.9775208333333333,0.8637500000000001,0.27078819274902344,0.008903980255126953
50,20.0,2,sqrt,2,0.8675,0.8662220781660119,0.97445,0.8568749999999999,0.24834394454956055,0.00917506217956543
50,20.0,2,log2,1,0.8675,0.867364368355222,0.9775208333333333,0.8637500000000001,0.2801787853240967,0.00929880142211914
50,20.0,2,log2,2,0.8675,0.8662220781660119,0.97445,0.8568749999999999,0.2478930950164795,0.006899118423461914
50,20.0,5,sqrt,1,0.8675,0.8666700761997755,0.9751958333333333,0.860625,0.2560000419616699,0.007297992706298828
50,20.0,5,sqrt,2,0.88,0.8794813357889352,0.9793125,0.868125,0.26230621337890625,0.009689092636108398
50,20.0,5,log2,1,0.8675,0.8666700761997755,0.9751958333333333,0.860625,0.25029706954956055,0.008205890655517578
50,20.0,5,log2,2,0.88,0.8794813357889352,0.9793125,0.868125,0.24742674827575684,0.007322072982788086
100,,2,sqrt,1,0.8825,0.8821523768075707,0.9790083333333334,0.8681249999999998,0.516895055770874,0.014814138412475586
100,,2,sqrt,2,0.8625,0.8613994138647547,0.9776333333333334,0.866875,0.47957396507263184,0.014540910720825195
100,,2,log2,1,0.8825,0.8821523768075707,0.9790083333333334,0.8681249999999998,0.5251212120056152,0.015608787536621094
100,,2,log2,2,0.8625,0.8613994138647547,0.9776333333333334,0.866875,0.4825899600982666,0.013020992279052734
100,,5,sqrt,1,0.87,0.8697086572722068,0.9786583333333333,0.8675,0.5014529228210449,0.01500391960144043
100,,5,sqrt,2,0.875,0.8746471251850094,0.9791708333333333,0.871875,0.49454593658447266,0.015099048614501953
100,,5,log2,1,0.87,0.8697086572722068,0.9786583333333333,0.8675,0.5017929077148438,0.017310142517089844
100,,5,log2,2,0.875,0.8746471251850094,0.9791708333333333,0.871875,0.48970913887023926,0.014991044998168945
100,10.0,2,sqrt,1,0.85,0.8497448086102567,0.9737499999999999,0.8600000000000001,0.6007819175720215,0.01837611198425293
100,10.0,2,sqrt,2,0.865,0.8651003743941935,0.9763750000000001,0.86875,0.5109901428222656,0.012807846069335938
100,10.0,2,log2,1,0.85,0.8497448086102567,0.9737499999999999,0.8600000000000001,0.5564908981323242,0.01801133155822754
