n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,1.0,1.0,1.0,1.0,0.4435734748840332,0.005554914474487305
50,,2,sqrt,2,1.0,1.0,1.0,1.0,0.39006710052490234,0.005452871322631836
50,,2,log2,1,1.0,1.0,1.0,1.0,0.5451409816741943,0.005702018737792969
50,,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5260937213897705,0.005571126937866211
50,,5,sqrt,1,1.0,1.0,1.0,1.0,0.6408607959747314,0.0056498050689697266
50,,5,sqrt,2,1.0,1.0,1.0,1.0,0.5067019462585449,0.005637168884277344
50,,5,log2,1,1.0,1.0,1.0,1.0,0.46007394790649414,0.005553245544433594
50,,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5671489238739014,0.008030891418457031
50,10.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.5044159889221191,0.008522987365722656
50,10.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.596095085144043,0.005617856979370117
50,10.0,2,log2,1,1.0,1.0,1.0,1.0,0.4338409900665283,0.008610010147094727
50,10.0,2,log2,2,1.0,1.0,1.0,1.0,0.44283485412597656,0.010786056518554688
50,10.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.41703224182128906,0.006134986877441406
50,10.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.48454904556274414,0.009540796279907227
50,10.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.4361531734466553,0.010148048400878906
50,10.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.489199161529541,0.008247137069702148
50,20.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.4095187187194824,0.006086111068725586
50,20.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.5593230724334717,0.0063838958740234375
50,20.0,2,log2,1,1.0,1.0,1.0,1.0,0.5941891670227051,0.005967140197753906
50,20.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.47191929817199707,0.008302688598632812
50,20.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.5266361236572266,0.005769968032836914
50,20.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.34606003761291504,0.008193016052246094
50,20.0,5,log2,1,1.0,1.0,1.0,1.0,0.6235427856445312,0.005863189697265625
50,20.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.4802107810974121,0.005469322204589844
100,,2,sqrt,1,1.0,1.0,1.0,1.0,0.7311732769012451,0.015380859375
100,,2,sqrt,2,1.0,1.0,1.0,1.0,0.6580002307891846,0.012222051620483398
100,,2,log2,1,1.0,1.0,1.0,1.0,0.58001708984375,0.012516975402832031
100,,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5738050937652588,0.013464927673339844
100,,5,sqrt,1,1.0,1.0,1.0,1.0,0.6737220287322998,0.010294914245605469
100,,5,sqrt,2,1.0,1.0,1.0,1.0,0.6541211605072021,0.014806985855102539
100,,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.5854063034057617,0.012202978134155273
100,,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5937709808349609,0.010592937469482422
100,10.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.7601120471954346,0.010493040084838867
100,10.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.7123551368713379,0.013226985931396484
100,10.0,2,log2,1,1.0,1.0,1.0,1.0,0.6943480968475342,0.013505935668945312
100,10.0,2,log2,2,1.0,1.0,1.0,1.0,1.8843510150909424,0.027569293975830078
100,10.0,5,sqrt,1,1.0,1.0,1.0,1.0,1.0991590023040771,0.02256011962890625
100,10.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.9294307231903076,0.012748003005981445
100,10.0,5,log2,1,1.0,1.0,1.0,1.0,0.5989959239959717,0.016082048416137695
100,10.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5521490573883057,0.010420083999633789
100,20.0,2,sqrt,1,1.0,1.0,1.0,1.0,0.755028247833252,0.01234126091003418
100,20.0,2,sqrt,2,1.0,1.0,1.0,1.0,0.629688024520874,0.010988712310791016
100,20.0,2,log2,1,1.0,1.0,1.0,1.0,0.5695443153381348,0.01648688316345215
100,20.0,2,log2,2,1.0,1.0,1.0,0.9988425925925926,0.5967271327972412,0.010333776473999023
100,20.0,5,sqrt,1,1.0,1.0,1.0,1.0,0.7381908893585205,0.012389183044433594
100,20.0,5,sqrt,2,1.0,1.0,1.0,1.0,0.7845273017883301,0.01804494857788086
100,20.0,5,log2,1,1.0,1.0,1.0,0.9988425925925926,0.8808541297912598,0.014450788497924805
100,20.0,5,log2,2,1.0,1.0,1.0,0.9988425925925926,0.738361120223999,0.012590885162353516
