n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.7703003337041157,0.7080610624143896,0.6560169615213338,0.7639777468706536,1.9305579662322998,0.0599212646484375
50,,2,sqrt,2,0.7369299221357063,0.6958824216430637,0.6723144369825462,0.7346314325452017,1.391408920288086,0.03097224235534668
50,,2,log2,1,0.7703003337041157,0.7080610624143896,0.6560169615213338,0.7639777468706536,1.4885940551757812,0.04129910469055176
50,,2,log2,2,0.7369299221357063,0.6958824216430637,0.6723144369825462,0.7346314325452017,0.9989719390869141,0.032076120376586914
50,,5,sqrt,1,0.7480533926585095,0.6999536042824848,0.6605075024427405,0.7424200278164117,1.1526541709899902,0.024138927459716797
50,,5,sqrt,2,0.7374860956618465,0.7010594784063918,0.6741881664784375,0.729624478442281,0.7562861442565918,0.023272275924682617
50,,5,log2,1,0.7480533926585095,0.6999536042824848,0.6605075024427405,0.7424200278164117,0.7714939117431641,0.02526402473449707
50,,5,log2,2,0.7374860956618465,0.7010594784063918,0.6741881664784375,0.729624478442281,0.9582509994506836,0.028689146041870117
50,10.0,2,sqrt,1,0.5728587319243604,0.6128660053486004,0.620981146476385,0.5986091794158555,0.6809990406036377,0.021405935287475586
50,10.0,2,sqrt,2,0.5522803114571746,0.6007504499513254,0.6324204806927559,0.5730180806675939,0.616375207901001,0.021975040435791016
50,10.0,2,log2,1,0.5728587319243604,0.6128660053486004,0.620981146476385,0.5986091794158555,0.5012099742889404,0.016975879669189453
50,10.0,2,log2,2,0.5522803114571746,0.6007504499513254,0.6324204806927559,0.5730180806675939,0.6424412727355957,0.016978025436401367
50,10.0,5,sqrt,1,0.5444938820912124,0.5938310826556853,0.6256183817491359,0.5780250347705147,0.8551762104034424,0.01572585105895996
50,10.0,5,sqrt,2,0.5283648498331479,0.583087682633256,0.6389099698607759,0.5703755215577191,0.48137402534484863,0.017548084259033203
50,10.0,5,log2,1,0.5444938820912124,0.5938310826556853,0.6256183817491359,0.5780250347705147,0.5997939109802246,0.02079319953918457
50,10.0,5,log2,2,0.5283648498331479,0.583087682633256,0.6389099698607759,0.5703755215577191,0.7672629356384277,0.023052215576171875
50,20.0,2,sqrt,1,0.768075639599555,0.7055667232243126,0.6511799831867282,0.7636995827538249,1.0649588108062744,0.024599075317382812
50,20.0,2,sqrt,2,0.7308120133481646,0.693287447707193,0.6617149329763017,0.7339360222531293,0.7562286853790283,0.02863621711730957
50,20.0,2,log2,1,0.768075639599555,0.7055667232243126,0.6511799831867282,0.7636995827538249,0.8022091388702393,0.023974895477294922
50,20.0,2,log2,2,0.7308120133481646,0.693287447707193,0.6617149329763017,0.7339360222531293,1.5303547382354736,0.049185991287231445
50,20.0,5,sqrt,1,0.743047830923248,0.700074587305828,0.6640809343120105,0.7426981919332405,1.1046509742736816,0.026859045028686523
50,20.0,5,sqrt,2,0.7302558398220245,0.6958160326926907,0.679947139003777,0.7262865090403339,0.9725189208984375,0.029497146606445312
50,20.0,5,log2,1,0.743047830923248,0.700074587305828,0.6640809343120105,0.7426981919332405,1.5575838088989258,0.033818960189819336
50,20.0,5,log2,2,0.7302558398220245,0.6958160326926907,0.679947139003777,0.7262865090403339,1.1366071701049805,0.04896211624145508
100,,2,sqrt,1,0.7719688542825361,0.7046663239172332,0.6608649210952728,0.7645340751043116,2.8347530364990234,0.12084794044494629
100,,2,sqrt,2,0.7452725250278087,0.7018908864013019,0.6765893126764543,0.7404728789986091,2.671565055847168,0.04866600036621094
100,,2,log2,1,0.7719688542825361,0.7046663239172332,0.6608649210952728,0.7645340751043116,2.6862199306488037,0.1073920726776123
100,,2,log2,2,0.7452725250278087,0.7018908864013019,0.6765893126764543,0.7404728789986091,1.3801918029785156,0.042448997497558594
100,,5,sqrt,1,0.7513904338153504,0.6996455043551422,0.6701659045105769,0.7471488178025034,2.264209270477295,0.04970908164978027
100,,5,sqrt,2,0.7363737486095662,0.6966572058705235,0.6789993629473088,0.7339360222531294,1.893949270248413,0.046449899673461914
100,,5,log2,1,0.7513904338153504,0.6996455043551422,0.6701659045105769,0.7471488178025034,2.040336847305298,0.10692620277404785
100,,5,log2,2,0.7363737486095662,0.6966572058705235,0.6789993629473088,0.7339360222531294,1.5963809490203857,0.047408103942871094
100,10.0,2,sqrt,1,0.578420467185762,0.6147050989337032,0.6222437624489198,0.6066759388038943,0.9571559429168701,0.04017496109008789
100,10.0,2,sqrt,2,0.5650723025583982,0.6100514654765856,0.6349496375548482,0.578720445062587,1.2172017097473145,0.05795478820800781
100,10.0,2,log2,1,0.578420467185762,0.6147050989337032,0.6222437624489198,0.6066759388038943,1.6650340557098389,0.028892993927001953
100,10.0,2,log2,2,0.5650723025583982,0.6100514654765856,0.6349496375548482,0.578720445062587,1.1332793235778809,0.04282426834106445
100,10.0,5,sqrt,1,0.5545050055617352,0.6016176888523989,0.63113285238533,0.5872044506258692,1.1509838104248047,0.030926227569580078
100,10.0,5,sqrt,2,0.5456062291434928,0.598138751796939,0.6386620079217672,0.5795549374130736,1.3324668407440186,0.04189586639404297
100,10.0,5,log2,1,0.5545050055617352,0.6016176888523989,0.63113285238533,0.5872044506258692,1.617656946182251,0.029814958572387695
100,10.0,5,log2,2,0.5456062291434928,0.598138751796939,0.6386620079217672,0.5795549374130736,1.2567729949951172,0.037653446197509766
100,20.0,2,sqrt,1,0.7703003337041157,0.7075358684755684,0.6611343160103607,0.7621696801112656,1.6906170845031738,0.04581618309020996
100,20.0,2,sqrt,2,0.7408231368186874,0.6974087015700797,0.6674700070416184,0.7400556328233658,1.7508442401885986,0.04182887077331543
100,20.0,2,log2,1,0.7703003337041157,0.7075358684755684,0.6611343160103607,0.7621696801112656,2.0687808990478516,0.1041567325592041
100,20.0,2,log2,2,0.7408231368186874,0.6974087015700797,0.6674700070416184,0.7400556328233658,2.397674083709717,0.11238503456115723
