n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time
200,20.0,2,sqrt,1,0.8875,0.8874244444494497,0.9808083333333333,0.874375,1.0831019878387451
200,20.0,2,log2,1,0.8875,0.8874244444494497,0.9808083333333333,0.874375,1.0615952014923096
200,,2,sqrt,1,0.885,0.8849539815926372,0.9808458333333333,0.8724999999999999,1.8905489444732666
200,,2,log2,1,0.885,0.8849539815926372,0.9808458333333333,0.8724999999999999,1.33243989944458
100,,2,sqrt,1,0.8825,0.8821523768075707,0.9790083333333334,0.8681249999999998,0.7012510299682617
