n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time
100,,2,sqrt,1,0.7409470752089137,0.6958728288800256,0.6701059795291829,0.7477715877437326,4.76465106010437
100,,2,log2,1,0.7409470752089137,0.6958728288800256,0.6701059795291829,0.7477715877437326,3.6571900844573975
200,,2,sqrt,1,0.7409470752089137,0.6946407533957799,0.6723917038265471,0.748816155988858,6.980108022689819
200,,2,log2,1,0.7409470752089137,0.6946407533957799,0.6723917038265471,0.748816155988858,7.736181974411011
100,20.0,2,sqrt,1,0.7387186629526462,0.6957372937261445,0.6833319843701263,0.7464484679665737,6.55735182762146
