n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.9953703703703703,0.9953559990145356,0.9999755046051342,0.9768518518518517,0.44590020179748535,0.005810976028442383
50,,2,sqrt,2,0.9907407407407407,0.9907420059242893,0.9999510092102685,0.9618055555555557,0.4163808822631836,0.008037805557250977
50,,2,log2,1,1.0,1.0,0.9999755046051342,0.9745370370370371,0.5521101951599121,0.005658864974975586
50,,2,log2,2,0.9953703703703703,0.9953732237630543,0.9999510092102685,0.9675925925925926,0.5571978092193604,0.009027242660522461
50,,5,sqrt,1,0.9953703703703703,0.9953732237630543,0.9999510092102685,0.9641203703703703,0.6378610134124756,0.005773782730102539
50,,5,sqrt,2,0.9861111111111112,0.986116817896479,0.9998775230256711,0.9652777777777777,0.3880798816680908,0.00563502311706543
50,,5,log2,1,1.0,1.0,0.9999204841797434,0.9722222222222222,0.5693399906158447,0.0067369937896728516
50,,5,log2,2,0.9953703703703703,0.9953732237630543,0.9999755046051342,0.9618055555555557,0.46017885208129883,0.005658864974975586
50,10.0,2,sqrt,1,1.0,1.0,0.9999755046051342,0.9733796296296297,0.516697883605957,0.005700111389160156
50,10.0,2,sqrt,2,0.9814814814814815,0.9817060215498207,0.9999470735357832,0.9675925925925926,0.5774831771850586,0.00597691535949707
50,10.0,2,log2,1,1.0,1.0,0.9999265138154028,0.976851851851852,0.32235193252563477,0.005681276321411133
50,10.0,2,log2,2,1.0,1.0,1.0,0.9745370370370371,0.46852707862854004,0.008037805557250977
50,10.0,5,sqrt,1,0.9861111111111112,0.986183615371813,0.9999449795746091,0.9664351851851851,0.7144570350646973,0.005764007568359375
50,10.0,5,sqrt,2,0.9768518518518519,0.9768711659801435,0.9998959887848777,0.9710648148148148,0.35872387886047363,0.006536006927490234
50,10.0,5,log2,1,0.9953703703703703,0.9953732237630543,0.9998225026002803,0.9699074074074074,0.6187257766723633,0.008353948593139648
50,10.0,5,log2,2,0.9953703703703703,0.9953732237630543,0.9999510092102685,0.9618055555555555,0.46848177909851074,0.0055921077728271484
50,20.0,2,sqrt,1,0.9953703703703703,0.9953559990145356,0.9999755046051342,0.9768518518518517,0.7337501049041748,0.007460117340087891
50,20.0,2,sqrt,2,0.9907407407407407,0.9907420059242893,0.9999510092102685,0.9618055555555557,0.3723032474517822,0.010390996932983398
50,20.0,2,log2,1,1.0,1.0,0.9999755046051342,0.9745370370370371,0.6035068035125732,0.007837057113647461
50,20.0,2,log2,2,0.9953703703703703,0.9953732237630543,0.9999510092102685,0.9675925925925926,0.5246760845184326,0.005772113800048828
50,20.0,5,sqrt,1,0.9953703703703703,0.9953732237630543,0.9999510092102685,0.9641203703703703,0.6357998847961426,0.007498025894165039
50,20.0,5,sqrt,2,0.9861111111111112,0.986116817896479,0.9998775230256711,0.9652777777777777,0.36578798294067383,0.005909919738769531
50,20.0,5,log2,1,1.0,1.0,0.9999204841797434,0.9722222222222222,0.6302599906921387,0.005741119384765625
50,20.0,5,log2,2,0.9953703703703703,0.9953732237630543,0.9999755046051342,0.9618055555555557,0.3332538604736328,0.007601261138916016
100,,2,sqrt,1,0.9907407407407407,0.9907292227775899,0.9999877523025671,0.9768518518518517,1.051131010055542,0.012470722198486328
100,,2,sqrt,2,0.9907407407407407,0.9907464475261085,0.9999510092102685,0.9699074074074074,0.7359468936920166,0.01064920425415039
100,,2,log2,1,1.0,1.0,1.0,0.9803240740740741,0.6191160678863525,0.012636184692382812
100,,2,log2,2,1.0,1.0,1.0,0.9745370370370371,0.6026928424835205,0.012450218200683594
100,,5,sqrt,1,0.9953703703703703,0.9953732237630543,0.9999755046051342,0.9768518518518517,0.7694091796875,0.013438940048217773
100,,5,sqrt,2,0.9907407407407407,0.9907378661660511,0.9999265138154028,0.96875,0.7297501564025879,0.01059103012084961
100,,5,log2,1,0.9953703703703703,0.9953732237630543,1.0,0.9780092592592592,0.6629407405853271,0.012465238571166992
100,,5,log2,2,0.9953703703703703,0.9953732237630543,1.0,0.9722222222222222,0.5927491188049316,0.012417793273925781
100,10.0,2,sqrt,1,1.0,1.0,1.0,0.9780092592592592,0.7364809513092041,0.012768030166625977
100,10.0,2,sqrt,2,0.9953703703703703,0.9953732237630543,0.9999510092102685,0.96875,0.7222692966461182,0.012378931045532227
100,10.0,2,log2,1,1.0,1.0,1.0,0.9814814814814815,0.6142547130584717,0.014465093612670898
100,10.0,2,log2,2,1.0,1.0,1.0,0.9745370370370371,0.6214969158172607,0.01538991928100586
100,10.0,5,sqrt,1,1.0,1.0,1.0,0.9733796296296298,0.7604620456695557,0.013188838958740234
100,10.0,5,sqrt,2,0.9953703703703703,0.9953732237630543,0.9999755046051342,0.96875,0.7027771472930908,0.011574745178222656
100,10.0,5,log2,1,0.9953703703703703,0.9953732237630543,1.0,0.9803240740740741,0.6177527904510498,0.012757062911987305
100,10.0,5,log2,2,0.9953703703703703,0.9953732237630543,1.0,0.9710648148148149,0.6026229858398438,0.010632753372192383
100,20.0,2,sqrt,1,0.9907407407407407,0.9907292227775899,0.9999877523025671,0.9768518518518517,0.7562689781188965,0.012794017791748047
100,20.0,2,sqrt,2,0.9907407407407407,0.9907464475261085,0.9999510092102685,0.9699074074074074,0.7283380031585693,0.012686014175415039
