n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time
50,,2,sqrt,1,0.9444444444444444,0.9445769215167298,0.9957188421087098,0.9189814814814815,0.48326611518859863,0.005227088928222656
50,,2,sqrt,2,0.9537037037037037,0.9536602317165083,0.997119955825184,0.9050925925925926,0.22505807876586914,0.013177871704101562
50,,2,log2,1,0.9351851851851852,0.9355299106565945,0.9991247030004184,0.9097222222222222,0.19157195091247559,0.007134199142456055
50,,2,log2,2,0.9351851851851852,0.9357413036750267,0.9960298220814691,0.8958333333333334,0.18578696250915527,0.004939079284667969
50,,5,sqrt,1,0.9259259259259259,0.9257868275515334,0.9952435471133798,0.9189814814814815,0.22900104522705078,0.004945993423461914
50,,5,sqrt,2,0.9351851851851852,0.9354693056610933,0.997306469612205,0.9074074074074074,0.2116847038269043,0.012121200561523438
50,,5,log2,1,0.9444444444444444,0.9452167028278453,0.9983950235534779,0.9097222222222223,0.18670415878295898,0.004915952682495117
50,,5,log2,2,0.9444444444444444,0.944815667280546,0.9974357401426883,0.9027777777777778,0.1806938648223877,0.005023956298828125
50,10.0,2,sqrt,1,0.9537037037037037,0.9538217899395036,0.9960052560715544,0.923611111111111,0.22147202491760254,0.005057096481323242
50,10.0,2,sqrt,2,0.9537037037037037,0.9532892017205744,0.997071846825764,0.9004629629629629,0.2075049877166748,0.0071790218353271484
50,10.0,2,log2,1,0.9351851851851852,0.9358302133935662,0.9992196878028501,0.9074074074074074,0.18749785423278809,0.007006168365478516
50,10.0,2,log2,2,0.9444444444444444,0.94497074245358,0.9961670928200141,0.8912037037037037,0.1862199306488037,0.00939798355102539
50,10.0,5,sqrt,1,0.9351851851851852,0.9354164571811631,0.9946770941166322,0.9166666666666666,0.21224212646484375,0.004996061325073242
50,10.0,5,sqrt,2,0.9166666666666666,0.9165745052693501,0.9959642488085274,0.9050925925925926,0.20814728736877441,0.011566638946533203
50,10.0,5,log2,1,0.9351851851851852,0.9359882172552737,0.9968585898840726,0.9166666666666666,0.18525123596191406,0.006634950637817383
50,10.0,5,log2,2,0.9537037037037037,0.9536596627912081,0.9980462153833165,0.9027777777777778,0.17891192436218262,0.004912137985229492
50,20.0,2,sqrt,1,0.9444444444444444,0.9445769215167298,0.9957188421087098,0.9189814814814815,0.2256488800048828,0.005051136016845703
50,20.0,2,sqrt,2,0.9537037037037037,0.9536602317165083,0.997119955825184,0.9050925925925926,0.21057510375976562,0.004950046539306641
50,20.0,2,log2,1,0.9351851851851852,0.9355299106565945,0.9991247030004184,0.9097222222222222,0.18834686279296875,0.004969120025634766
50,20.0,2,log2,2,0.9351851851851852,0.9357413036750267,0.9960298220814691,0.8958333333333334,0.1788630485534668,0.006910085678100586
50,20.0,5,sqrt,1,0.9259259259259259,0.9257868275515334,0.9952435471133798,0.9189814814814815,0.2286090850830078,0.0050280094146728516
50,20.0,5,sqrt,2,0.9351851851851852,0.9354693056610933,0.997306469612205,0.9074074074074074,0.2088911533355713,0.004987955093383789
50,20.0,5,log2,1,0.9444444444444444,0.9452167028278453,0.9983950235534779,0.9097222222222223,0.18485713005065918,0.007228374481201172
50,20.0,5,log2,2,0.9444444444444444,0.944815667280546,0.9974357401426883,0.9027777777777778,0.18831205368041992,0.0049059391021728516
100,,2,sqrt,1,0.9351851851851852,0.9362856064893416,0.9975779018774871,0.9328703703703703,0.4300510883331299,0.011055946350097656
100,,2,sqrt,2,0.9629629629629629,0.9629057735546427,0.9974218881923338,0.9166666666666666,0.42478203773498535,0.00959014892578125
100,,2,log2,1,0.9537037037037037,0.9542758190101185,0.9994165690433976,0.923611111111111,0.5292201042175293,0.009433746337890625
100,,2,log2,2,0.9537037037037037,0.9537103813487293,0.9975165718654098,0.9212962962962963,0.36763811111450195,0.01157999038696289
100,,5,sqrt,1,0.9259259259259259,0.9262308747493933,0.9958716312515601,0.9351851851851851,0.4821360111236572,0.011060953140258789
100,,5,sqrt,2,0.9444444444444444,0.9447997066874008,0.9979103343465046,0.9236111111111112,0.4157531261444092,0.012430191040039062
100,,5,log2,1,0.9351851851851852,0.934774895886007,0.9984531988770686,0.9351851851851851,0.4995138645172119,0.011368989944458008
100,,5,log2,2,0.9259259259259259,0.9259309003753449,0.9976864088219315,0.9120370370370371,0.364882230758667,0.011290788650512695
100,10.0,2,sqrt,1,0.9444444444444444,0.9447148474992277,0.998435905448365,0.9375,0.45485591888427734,0.011022090911865234
100,10.0,2,sqrt,2,0.9629629629629629,0.9628312168539873,0.9971165000073419,0.9212962962962963,0.41736388206481934,0.01173710823059082
100,10.0,2,log2,1,0.9444444444444444,0.9447997066874008,0.999104570352077,0.9282407407407408,0.3985631465911865,0.011540889739990234
100,10.0,2,log2,2,0.9444444444444444,0.94497074245358,0.9975487914773525,0.9189814814814815,0.3991549015045166,0.016497135162353516
