configuration,hidden_sizes,hidden_activation,train_accuracy,test_accuracy,params,ram_bytes,time_minutes
Config 1,"[5, 5]",tanh,0.9868131868131869,0.9736842105263158,197,788,0.7409621874491373
Config 2,"[5, 5]",relu,0.989010989010989,0.9736842105263158,197,788,0.6141339182853699
Config 3,"[10, 10]",tanh,0.989010989010989,0.9824561403508771,442,1768,0.9377352674802144
Config 4,"[10, 10]",relu,0.989010989010989,0.9912280701754386,442,1768,0.5543887654940287
Config 5,"[10, 10, 10]",tanh,0.9912087912087912,0.9824561403508771,552,2208,0.764230219523112
Config 6,"[10, 10, 10]",relu,0.9736263736263736,0.9736842105263158,552,2208,0.9742835323015849
