Config,Hidden Sizes,Activation,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Parameters,RAM (bytes),Time (min)
Config 1,"[64, 64]",tanh,0.8544498923213621,0.8524392657676652,0.8538479936073827,0.8517092095402145,0.8544498923213621,0.8524392657676652,0.852852086522483,0.8507113778249571,8135,32540,14.565334447224934
Config 2,"[64, 64]",relu,0.8476664608473589,0.8450040016178584,0.850601481846095,0.8481993917280258,0.8476664608473589,0.8450040016178584,0.8444192957103188,0.8414554881534324,8135,32540,39.53213106393814
Config 3,"[128, 128, 128, 128]",tanh,0.9078158985733925,0.9034448336101477,0.9082155640338004,0.9038337520558748,0.9078158985733925,0.9034448336101477,0.9075074372912626,0.9030629673746094,57479,229916,26.172165485223136
Config 4,"[128, 128, 128, 128]",relu,0.9159891482307787,0.9108800977599546,0.9158917884250414,0.9107618431161316,0.9159891482307787,0.9108800977599546,0.9157329555904361,0.9105394866914034,57479,229916,67.91426238218943
Config 5,[64],relu,0.8009806178451794,0.7994285861810797,0.8006071318627567,0.7989556807895551,0.8009806178451794,0.7994285861810797,0.7972477183724198,0.7954280071829942,3975,15900,20.377303051948548
